SalesOrderNumber,SalesOrderLineNumber,OrderDate,CustomerID,Item,Quantity,UnitPrice,TaxAmount
SO20031,1,2024-07-15,CUST2274,Doll,1,31.13,1.56
SO20032,1,2025-01-12,CUST1174,Foundation,9,135.88,61.15
SO20033,1,2025-03-04,CUST2464,Perfume,8,48.96,19.58
SO20034,2,2024-09-07,CUST1295,Foundation,4,135.88,27.18
SO20035,3,2025-05-14,CUST1541,Puzzle,6,53.84,16.15
SO20036,3,2025-01-13,CUST1371,Air Purifier,7,471.37,164.98
SO20037,2,2024-09-09,CUST1074,Cookbook,4,42.12,8.42
SO20038,1,2024-10-03,CUST2583,Lawn Mower,7,312.5,109.38
SO20039,3,2025-05-03,CUST1402,Vitamin Supplements,8,247.52,99.01
SO20040,4,2024-05-30,CUST2058,Sunglasses,6,101.72,30.52
SO20041,4,2025-05-05,CUST1719,Action Figure,2,60.65,6.06
SO20042,4,2024-12-22,CUST1216,Vacuum Cleaner,4,111.58,22.32
SO20043,1,2025-01-18,CUST1004,First Aid Kit,5,102.73,25.68
SO20044,1,2025-03-04,CUST2784,GPS Navigator,1,379.55,18.98
SO20045,1,2024-11-12,CUST2394,Car Cover,2,380.21,38.02
SO20046,2,2025-05-20,CUST1487,Blender,4,265.85,53.17
SO20047,3,2024-10-10,CUST1920,Jacket,7,178.65,62.53
SO20048,2,2025-05-11,CUST1272,Thermometer,5,245.46,61.36
SO20049,4,2025-03-11,CUST1348,Running Shoes,2,37.97,3.8
SO20050,1,2024-06-07,CUST1413,Bluetooth Speaker,8,781.62,312.65
SO20051,1,2024-07-02,CUST2868,Doll,1,31.13,1.56
SO20052,4,2025-04-20,CUST1521,Action Figure,7,60.65,21.23
SO20053,4,2025-04-01,CUST2744,Lawn Mower,9,312.5,140.62
SO20054,4,2024-06-12,CUST2954,Blender,4,265.85,53.17
SO20055,1,2025-03-16,CUST1742,Hand Sanitizer,3,67.13,10.07
SO20056,1,2025-03-09,CUST1395,Lipstick,8,132.35,52.94
SO20057,4,2024-12-07,CUST1522,Air Purifier,9,471.37,212.12
SO20058,4,2024-06-17,CUST2722,Nail Polish,5,101.32,25.33
SO20059,1,2025-04-22,CUST1506,Nail Polish,1,101.32,5.07
SO20060,3,2025-02-03,CUST1995,Microwave,9,306.02,137.71
SO20061,1,2024-08-31,CUST2664,Building Blocks,9,58.63,26.38
SO20062,2,2024-09-08,CUST1258,Car Cover,5,380.21,95.05
SO20063,3,2024-11-01,CUST2802,Moisturizer,7,145.13,50.8
SO20064,1,2024-12-23,CUST2368,Smartwatch,4,1166.83,233.37
SO20065,4,2024-12-24,CUST2036,Basketball,1,252.86,12.64
SO20066,4,2024-11-30,CUST1490,Mystery Novel,5,54.28,13.57
SO20067,3,2024-12-01,CUST1811,First Aid Kit,6,102.73,30.82
SO20068,3,2024-08-14,CUST1555,Basketball,9,252.86,113.79
SO20069,1,2024-06-14,CUST2929,Mystery Novel,6,54.28,16.28
SO20070,2,2024-12-05,CUST2559,GPS Navigator,9,379.55,170.8
SO20071,3,2025-05-25,CUST1029,Jeans,6,102.22,30.67
SO20072,4,2024-12-18,CUST2517,Laptop,6,1357.95,407.39
SO20073,1,2024-06-14,CUST2666,Cookbook,8,42.12,16.85
SO20074,4,2024-10-08,CUST2913,Puzzle,3,53.84,8.08
SO20075,1,2024-09-28,CUST1284,Air Purifier,4,471.37,94.27
SO20076,1,2024-11-25,CUST2647,GPS Navigator,3,379.55,56.93
SO20077,1,2024-09-15,CUST2826,Action Figure,8,60.65,24.26
SO20078,4,2025-01-28,CUST2558,Moisturizer,9,145.13,65.31
SO20079,4,2025-04-25,CUST1682,Smartphone,8,893.23,357.29
SO20080,4,2025-05-15,CUST2421,Nail Polish,9,101.32,45.59
SO20081,4,2024-12-11,CUST1873,Sunglasses,7,101.72,35.6
SO20082,4,2024-12-08,CUST2139,GPS Navigator,8,379.55,151.82
SO20083,2,2024-07-02,CUST1114,Cookbook,4,42.12,8.42
SO20084,4,2024-07-10,CUST2369,GPS Navigator,8,379.55,151.82
SO20085,4,2025-03-30,CUST1202,Foundation,7,135.88,47.56
SO20086,3,2024-08-05,CUST1570,Blender,1,265.85,13.29
SO20087,2,2025-02-06,CUST1425,Doll,8,31.13,12.45
SO20088,1,2024-06-22,CUST1003,Garden Hose,4,137.73,27.55
SO20089,1,2024-09-24,CUST2813,Vacuum Cleaner,6,111.58,33.47
SO20090,3,2024-09-27,CUST2647,Vacuum Cleaner,5,111.58,27.9
SO20091,2,2025-02-22,CUST2219,Air Purifier,1,471.37,23.57
SO20092,3,2024-08-10,CUST1399,Smartwatch,3,1166.83,175.02
SO20093,4,2024-12-24,CUST2167,Jacket,1,178.65,8.93
SO20094,3,2025-01-03,CUST1117,Children's Book,2,6.62,0.66
SO20095,1,2024-11-20,CUST1785,Building Blocks,2,58.63,5.86
SO20096,2,2024-11-10,CUST2034,Cookbook,4,42.12,8.42
SO20097,1,2024-11-14,CUST2149,Tennis Racket,2,152.03,15.2
SO20098,3,2024-11-05,CUST1318,Garden Hose,8,137.73,55.09
SO20099,3,2025-05-05,CUST1008,Pruning Shears,2,307.9,30.79
SO20100,1,2024-11-09,CUST1182,Dash Cam,3,330.24,49.54
SO20101,4,2024-11-19,CUST2199,Running Shoes,8,37.97,15.19
SO20102,4,2024-10-06,CUST1023,Dash Cam,9,330.24,148.61
SO20103,3,2025-05-04,CUST2942,Jeans,8,102.22,40.89
SO20104,1,2024-08-18,CUST2642,Tire Inflator,4,127.25,25.45
SO20105,1,2024-09-10,CUST1245,Wireless Earbuds,7,1043.5,365.22
SO20106,3,2024-07-23,CUST2832,T-Shirt,7,74.96,26.24
SO20107,2,2025-01-12,CUST2595,Science Textbook,8,16.92,6.77
SO20108,4,2024-09-30,CUST2454,Children's Book,2,6.62,0.66
SO20109,2,2024-06-22,CUST1923,Coffee Maker,3,493.13,73.97
SO20110,4,2024-10-26,CUST2042,Puzzle,1,53.84,2.69
SO20111,4,2024-08-24,CUST1762,Running Shoes,9,37.97,17.09
SO20112,2,2024-06-06,CUST1613,Building Blocks,4,58.63,11.73
SO20113,1,2024-10-14,CUST1636,Building Blocks,1,58.63,2.93
SO20114,4,2024-06-19,CUST2217,First Aid Kit,8,102.73,41.09
SO20115,3,2024-06-05,CUST1885,Fertilizer,3,77.63,11.64
SO20116,1,2024-07-03,CUST1038,Yoga Mat,6,127.99,38.4
SO20117,1,2025-03-11,CUST1202,Yoga Mat,2,127.99,12.8
SO20118,1,2024-09-11,CUST2270,Wireless Earbuds,1,1043.5,52.18
SO20119,3,2025-02-24,CUST1353,Tennis Racket,1,152.03,7.6
SO20120,3,2024-08-27,CUST1323,Foundation,6,135.88,40.76
SO20121,3,2024-10-20,CUST2823,Moisturizer,7,145.13,50.8
SO20122,1,2024-09-19,CUST1767,Moisturizer,6,145.13,43.54
SO20123,2,2024-06-06,CUST1981,Sunglasses,1,101.72,5.09
SO20124,3,2025-05-01,CUST1550,Biography,1,46.3,2.32
SO20125,3,2024-10-13,CUST2559,Bluetooth Speaker,4,781.62,156.32
SO20126,4,2025-04-20,CUST1991,Hand Sanitizer,3,67.13,10.07
SO20127,4,2024-06-23,CUST1274,Sunglasses,2,101.72,10.17
SO20128,1,2025-04-11,CUST2253,First Aid Kit,4,102.73,20.55
SO20129,2,2025-01-04,CUST1543,Biography,5,46.3,11.58
SO20130,4,2025-01-05,CUST1996,Vacuum Cleaner,7,111.58,39.05
SO20131,2,2024-06-10,CUST2028,Bluetooth Speaker,9,781.62,351.73
SO20132,1,2024-09-15,CUST2943,Pruning Shears,6,307.9,92.37
SO20133,3,2024-07-26,CUST2431,Garden Hose,8,137.73,55.09
SO20134,4,2024-12-27,CUST1466,Children's Book,5,6.62,1.66
SO20135,1,2024-11-10,CUST2712,Blood Pressure Monitor,5,172.01,43.0
SO20136,3,2024-08-14,CUST2713,Perfume,9,48.96,22.03
SO20137,3,2024-09-20,CUST2036,Tennis Racket,9,152.03,68.41
SO20138,1,2024-08-13,CUST1586,Doll,4,31.13,6.23
SO20139,3,2024-06-21,CUST2247,Coffee Maker,6,493.13,147.94
SO20140,3,2024-09-07,CUST2288,Thermometer,5,245.46,61.36
SO20141,4,2025-05-01,CUST2308,Tennis Racket,2,152.03,15.2
SO20142,2,2024-11-26,CUST2478,Science Textbook,1,16.92,0.85
SO20143,4,2024-10-18,CUST2492,Vitamin Supplements,4,247.52,49.5
SO20144,2,2024-07-29,CUST1272,Football,8,54.37,21.75
SO20145,3,2025-03-17,CUST1074,Jacket,6,178.65,53.6
SO20146,4,2024-12-17,CUST2333,Building Blocks,5,58.63,14.66
SO20147,1,2025-04-22,CUST1346,First Aid Kit,5,102.73,25.68
SO20148,4,2024-06-27,CUST1285,First Aid Kit,5,102.73,25.68
SO20149,3,2024-09-23,CUST1924,Sunglasses,5,101.72,25.43
SO20150,2,2024-12-18,CUST2679,Lipstick,5,132.35,33.09
SO20151,2,2024-08-06,CUST1690,Garden Hose,7,137.73,48.21
SO20152,2,2024-11-22,CUST1760,Moisturizer,8,145.13,58.05
SO20153,2,2024-06-11,CUST2732,Perfume,2,48.96,4.9
SO20154,4,2024-09-01,CUST2417,First Aid Kit,3,102.73,15.41
SO20155,1,2025-01-11,CUST2576,Tennis Racket,8,152.03,60.81
SO20156,3,2025-05-15,CUST2568,Sunglasses,6,101.72,30.52
SO20157,1,2025-02-05,CUST2542,Biography,9,46.3,20.84
SO20158,3,2024-10-12,CUST1676,Coffee Maker,9,493.13,221.91
SO20159,2,2024-06-21,CUST1835,Running Shoes,7,37.97,13.29
SO20160,3,2024-12-18,CUST2371,Perfume,5,48.96,12.24
SO20161,2,2024-07-13,CUST1114,Vacuum Cleaner,1,111.58,5.58
SO20162,3,2024-12-05,CUST1348,Action Figure,5,60.65,15.16
SO20163,2,2024-09-07,CUST2727,Thermometer,8,245.46,98.18
SO20164,1,2025-04-03,CUST2088,Vitamin Supplements,3,247.52,37.13
SO20165,2,2024-06-02,CUST1053,Jacket,4,178.65,35.73
SO20166,2,2025-02-26,CUST2318,Smartwatch,2,1166.83,116.68
SO20167,1,2024-09-14,CUST2969,Pruning Shears,4,307.9,61.58
SO20168,4,2024-10-19,CUST1552,Dash Cam,9,330.24,148.61
SO20169,3,2025-04-29,CUST1324,Basketball,3,252.86,37.93
SO20170,1,2025-02-10,CUST1012,Yoga Mat,9,127.99,57.6
SO20171,2,2024-10-21,CUST2310,T-Shirt,2,74.96,7.5
SO20172,3,2025-01-20,CUST2818,Hand Sanitizer,7,67.13,23.5
SO20173,4,2024-09-21,CUST1568,Children's Book,5,6.62,1.66
SO20174,4,2025-01-26,CUST2635,Children's Book,2,6.62,0.66
SO20175,4,2024-12-22,CUST2354,Dash Cam,4,330.24,66.05
SO20176,1,2025-05-11,CUST1789,Pruning Shears,2,307.9,30.79
SO20177,1,2024-11-21,CUST2450,Football,7,54.37,19.03
SO20178,3,2025-04-07,CUST2141,Science Textbook,3,16.92,2.54
SO20179,4,2025-02-16,CUST1880,Air Purifier,2,471.37,47.14
SO20180,1,2024-11-24,CUST2021,Jeans,5,102.22,25.56
SO20181,4,2024-07-17,CUST2588,Thermometer,7,245.46,85.91
SO20182,2,2024-07-21,CUST2696,Puzzle,8,53.84,21.54
SO20183,3,2024-09-01,CUST1018,Vacuum Cleaner,2,111.58,11.16
SO20184,1,2025-01-01,CUST1118,Mystery Novel,1,54.28,2.71
SO20185,1,2024-11-07,CUST2116,Air Purifier,6,471.37,141.41
SO20186,3,2024-10-05,CUST2265,Sunglasses,9,101.72,45.77
SO20187,3,2024-08-17,CUST2489,Air Purifier,3,471.37,70.71
SO20188,1,2024-07-09,CUST2355,Action Figure,7,60.65,21.23
SO20189,1,2024-09-03,CUST2855,Tennis Racket,9,152.03,68.41
SO20190,3,2025-02-23,CUST1265,Action Figure,8,60.65,24.26
SO20191,1,2024-08-04,CUST2646,Vitamin Supplements,8,247.52,99.01
SO20192,1,2025-01-18,CUST1812,Air Purifier,1,471.37,23.57
SO20193,3,2024-09-14,CUST1317,Thermometer,3,245.46,36.82
SO20194,1,2024-11-09,CUST2161,Jeans,5,102.22,25.56
SO20195,3,2024-11-29,CUST2636,Jeans,6,102.22,30.67
SO20196,4,2025-04-22,CUST2777,Microwave,9,306.02,137.71
SO20197,4,2025-04-16,CUST1425,Running Shorts,2,278.63,27.86
SO20198,3,2024-12-12,CUST1265,First Aid Kit,3,102.73,15.41
SO20199,1,2025-04-24,CUST1792,Jacket,1,178.65,8.93
SO20200,1,2025-03-17,CUST2685,Car Vacuum,9,98.41,44.28
SO20201,3,2025-01-25,CUST1070,Nail Polish,6,101.32,30.4
SO20202,4,2025-04-15,CUST2912,Doll,9,31.13,14.01
SO20203,2,2024-12-08,CUST1477,Yoga Mat,4,127.99,25.6
SO20204,1,2024-08-09,CUST1104,GPS Navigator,7,379.55,132.84
SO20205,4,2024-06-24,CUST2902,Vacuum Cleaner,7,111.58,39.05
SO20206,3,2025-05-14,CUST1561,Air Purifier,6,471.37,141.41
SO20207,3,2024-07-06,CUST1074,GPS Navigator,2,379.55,37.96
SO20208,1,2024-10-20,CUST2649,Tennis Racket,1,152.03,7.6
SO20209,2,2025-01-06,CUST2707,Children's Book,7,6.62,2.32
SO20210,1,2024-10-28,CUST1373,Building Blocks,1,58.63,2.93
SO20211,2,2025-01-07,CUST1587,Wireless Earbuds,7,1043.5,365.22
SO20212,2,2024-09-06,CUST2216,Biography,2,46.3,4.63
SO20213,3,2025-02-17,CUST1971,Action Figure,1,60.65,3.03
SO20214,1,2024-06-14,CUST2205,T-Shirt,2,74.96,7.5
SO20215,3,2024-07-03,CUST2643,Car Vacuum,7,98.41,34.44
SO20216,1,2025-04-10,CUST1710,Yoga Mat,4,127.99,25.6
SO20217,2,2025-03-21,CUST2245,Microwave,4,306.02,61.2
SO20218,1,2024-06-17,CUST2733,Basketball,5,252.86,63.22
SO20219,2,2024-11-08,CUST1228,Cookbook,6,42.12,12.64
SO20220,4,2024-08-03,CUST1955,Running Shorts,7,278.63,97.52
SO20221,2,2024-09-25,CUST1976,First Aid Kit,1,102.73,5.14
SO20222,4,2024-08-11,CUST2120,Yoga Mat,6,127.99,38.4
SO20223,2,2024-10-12,CUST2931,Blender,4,265.85,53.17
SO20224,4,2024-08-03,CUST2309,Vitamin Supplements,9,247.52,111.38
SO20225,1,2024-07-05,CUST1177,Puzzle,7,53.84,18.84
SO20226,2,2024-06-14,CUST1504,Children's Book,3,6.62,0.99
SO20227,4,2025-05-22,CUST1345,Plant Pots,2,316.61,31.66
SO20228,2,2024-08-27,CUST1173,Building Blocks,4,58.63,11.73
SO20229,3,2024-07-24,CUST2590,Biography,8,46.3,18.52
SO20230,2,2024-08-10,CUST2486,Smartwatch,5,1166.83,291.71
SO20231,3,2025-04-10,CUST2766,Jeans,9,102.22,46.0
SO20232,4,2024-06-23,CUST2531,Hand Sanitizer,9,67.13,30.21
SO20233,3,2024-12-16,CUST1004,Lawn Mower,8,312.5,125.0
SO20234,2,2025-02-19,CUST2050,Microwave,4,306.02,61.2
SO20235,3,2024-10-24,CUST2679,Microwave,1,306.02,15.3
SO20236,1,2024-06-30,CUST1876,Biography,4,46.3,9.26
SO20237,1,2024-07-01,CUST2730,Blood Pressure Monitor,4,172.01,34.4
SO20238,4,2024-07-11,CUST1921,Laptop,1,1357.95,67.9
SO20239,1,2024-07-18,CUST2389,Car Vacuum,3,98.41,14.76
SO20240,2,2025-04-28,CUST1084,Blender,1,265.85,13.29
SO20241,2,2025-04-29,CUST2221,Perfume,1,48.96,2.45
SO20242,4,2024-12-02,CUST2436,Blender,7,265.85,93.05
SO20243,2,2024-07-07,CUST2711,Air Purifier,1,471.37,23.57
SO20244,4,2024-12-24,CUST2131,Action Figure,2,60.65,6.06
SO20245,4,2025-03-03,CUST1915,Jeans,8,102.22,40.89
SO20246,4,2025-01-21,CUST2963,Foundation,8,135.88,54.35
SO20247,3,2025-05-28,CUST1252,Smartwatch,7,1166.83,408.39
SO20248,2,2025-01-16,CUST2255,Science Textbook,1,16.92,0.85
SO20249,4,2024-07-25,CUST2628,Cookbook,7,42.12,14.74
SO20250,1,2024-10-18,CUST2318,Building Blocks,6,58.63,17.59
SO20251,4,2024-09-06,CUST2172,Doll,3,31.13,4.67
SO20252,4,2025-01-03,CUST2538,Tennis Racket,8,152.03,60.81
SO20253,1,2025-01-28,CUST2327,Fertilizer,2,77.63,7.76
SO20254,3,2024-08-22,CUST1415,Car Cover,6,380.21,114.06
SO20255,1,2025-03-12,CUST2248,Hand Sanitizer,5,67.13,16.78
SO20256,2,2024-11-02,CUST2264,Basketball,3,252.86,37.93
SO20257,3,2024-09-14,CUST1032,Fertilizer,6,77.63,23.29
SO20258,3,2025-03-20,CUST1402,Coffee Maker,6,493.13,147.94
SO20259,3,2024-10-21,CUST2477,Dash Cam,3,330.24,49.54
SO20260,1,2024-06-10,CUST2571,Vitamin Supplements,5,247.52,61.88
SO20261,4,2024-06-08,CUST1648,Thermometer,2,245.46,24.55
SO20262,2,2024-07-09,CUST1717,Cookbook,2,42.12,4.21
SO20263,3,2025-01-03,CUST2703,Plant Pots,8,316.61,126.64
SO20264,3,2025-02-11,CUST2184,Bluetooth Speaker,3,781.62,117.24
SO20265,1,2025-04-30,CUST1901,First Aid Kit,9,102.73,46.23
SO20266,4,2024-09-27,CUST1792,Bluetooth Speaker,8,781.62,312.65
SO20267,3,2025-03-29,CUST1250,Children's Book,4,6.62,1.32
SO20268,1,2024-06-04,CUST2089,Car Vacuum,9,98.41,44.28
SO20269,2,2024-07-23,CUST2278,Running Shorts,5,278.63,69.66
SO20270,1,2024-08-02,CUST2099,Foundation,9,135.88,61.15
SO20271,2,2024-09-13,CUST2665,Pruning Shears,2,307.9,30.79
SO20272,1,2024-08-14,CUST2108,Football,5,54.37,13.59
SO20273,2,2025-02-01,CUST2442,T-Shirt,5,74.96,18.74
SO20274,3,2025-01-12,CUST1531,Sunglasses,3,101.72,15.26
SO20275,3,2025-02-08,CUST1330,Running Shorts,6,278.63,83.59
SO20276,2,2025-03-20,CUST1205,Plant Pots,1,316.61,15.83
SO20277,1,2025-02-21,CUST1204,Car Cover,2,380.21,38.02
SO20278,2,2024-12-10,CUST1889,Action Figure,7,60.65,21.23
SO20279,1,2024-09-22,CUST1651,Pruning Shears,2,307.9,30.79
SO20280,4,2025-04-26,CUST2711,Vitamin Supplements,2,247.52,24.75
SO20281,2,2025-03-27,CUST2043,Pruning Shears,2,307.9,30.79
SO20282,4,2025-01-10,CUST1468,Car Vacuum,6,98.41,29.52
SO20283,3,2025-02-27,CUST2514,Remote Car,5,6.8,1.7
SO20284,3,2024-12-17,CUST2632,Fertilizer,5,77.63,19.41
SO20285,2,2024-07-07,CUST2538,Basketball,2,252.86,25.29
SO20286,3,2025-05-15,CUST1724,Smartwatch,3,1166.83,175.02
SO20287,1,2024-06-18,CUST1191,Building Blocks,2,58.63,5.86
SO20288,2,2024-10-14,CUST2517,Car Vacuum,3,98.41,14.76
SO20289,1,2024-10-28,CUST1599,Car Vacuum,1,98.41,4.92
SO20290,3,2025-05-17,CUST1626,Jeans,5,102.22,25.56
SO20291,3,2025-04-25,CUST1340,Building Blocks,7,58.63,20.52
SO20292,4,2024-08-02,CUST1841,Blender,1,265.85,13.29
SO20293,1,2025-01-08,CUST2590,Tire Inflator,1,127.25,6.36
SO20294,4,2024-12-14,CUST1632,Jeans,4,102.22,20.44
SO20295,3,2024-06-09,CUST1655,Biography,5,46.3,11.58
SO20296,3,2025-05-23,CUST1651,Children's Book,2,6.62,0.66
SO20297,4,2024-12-03,CUST1310,Yoga Mat,4,127.99,25.6
SO20298,4,2024-11-10,CUST2500,Laptop,7,1357.95,475.28
SO20299,4,2025-01-05,CUST1468,Smartphone,8,893.23,357.29
SO20300,4,2024-11-26,CUST1323,Laptop,7,1357.95,475.28
SO20301,1,2025-01-23,CUST2712,Lipstick,9,132.35,59.56
SO20302,4,2025-02-18,CUST1786,Smartphone,4,893.23,178.65
SO20303,3,2025-01-09,CUST1257,GPS Navigator,2,379.55,37.96
SO20304,4,2025-04-16,CUST2340,Yoga Mat,6,127.99,38.4
SO20305,4,2024-11-29,CUST2216,Cookbook,3,42.12,6.32
SO20306,2,2024-10-11,CUST1529,Plant Pots,7,316.61,110.81
SO20307,2,2024-09-19,CUST1581,T-Shirt,8,74.96,29.98
SO20308,1,2024-12-02,CUST1897,Car Cover,1,380.21,19.01
SO20309,2,2024-12-12,CUST2003,Smartwatch,1,1166.83,58.34
SO20310,2,2024-11-27,CUST2255,Cookbook,1,42.12,2.11
SO20311,1,2024-12-22,CUST2262,Smartwatch,5,1166.83,291.71
SO20312,2,2024-06-10,CUST1612,Yoga Mat,2,127.99,12.8
SO20313,3,2025-04-02,CUST1238,Thermometer,4,245.46,49.09
SO20314,1,2025-02-17,CUST2433,Vitamin Supplements,6,247.52,74.26
SO20315,4,2024-09-08,CUST1593,Moisturizer,6,145.13,43.54
SO20316,2,2024-09-07,CUST1357,Jeans,8,102.22,40.89
SO20317,4,2025-01-09,CUST1143,Puzzle,2,53.84,5.38
SO20318,3,2024-09-15,CUST1870,Doll,3,31.13,4.67
SO20319,3,2025-01-25,CUST2648,Car Vacuum,1,98.41,4.92
SO20320,4,2025-01-05,CUST2558,Building Blocks,7,58.63,20.52
SO20321,1,2025-05-18,CUST1028,Puzzle,4,53.84,10.77
SO20322,3,2025-02-07,CUST2806,Bluetooth Speaker,3,781.62,117.24
SO20323,2,2025-05-28,CUST1905,Nail Polish,3,101.32,15.2
SO20324,2,2024-07-01,CUST1203,Tennis Racket,2,152.03,15.2
SO20325,1,2024-07-30,CUST2442,Running Shoes,3,37.97,5.7
SO20326,3,2025-03-22,CUST2039,Jacket,7,178.65,62.53
SO20327,4,2025-01-26,CUST2580,Dash Cam,7,330.24,115.58
SO20328,2,2024-12-11,CUST1513,Coffee Maker,2,493.13,49.31
SO20329,4,2025-03-18,CUST1950,Remote Car,5,6.8,1.7
SO20330,4,2025-05-09,CUST1497,Biography,2,46.3,4.63
SO20331,1,2024-07-03,CUST1856,GPS Navigator,8,379.55,151.82
SO20332,4,2025-03-29,CUST1089,Plant Pots,9,316.61,142.47
SO20333,3,2024-08-27,CUST1436,Car Cover,8,380.21,152.08
SO20334,4,2024-11-22,CUST2740,T-Shirt,4,74.96,14.99
SO20335,1,2025-01-13,CUST2512,Air Purifier,8,471.37,188.55
SO20336,4,2025-02-02,CUST2728,Cookbook,3,42.12,6.32
SO20337,3,2024-07-09,CUST2548,Biography,3,46.3,6.94
SO20338,4,2024-10-23,CUST2182,Moisturizer,1,145.13,7.26
SO20339,3,2025-02-21,CUST2461,Laptop,3,1357.95,203.69
SO20340,4,2024-06-12,CUST2048,Car Cover,8,380.21,152.08
SO20341,2,2025-04-04,CUST1664,Air Purifier,1,471.37,23.57
SO20342,3,2024-06-17,CUST1429,Moisturizer,3,145.13,21.77
SO20343,3,2024-11-25,CUST1365,Vacuum Cleaner,5,111.58,27.9
SO20344,1,2024-07-08,CUST2909,T-Shirt,6,74.96,22.49
SO20345,4,2025-05-26,CUST1700,Hand Sanitizer,8,67.13,26.85
SO20346,4,2024-08-02,CUST2534,Plant Pots,3,316.61,47.49
SO20347,2,2024-06-11,CUST1835,Coffee Maker,9,493.13,221.91
SO20348,2,2024-12-12,CUST1608,Biography,6,46.3,13.89
SO20349,4,2025-04-28,CUST2458,Thermometer,5,245.46,61.36
SO20350,4,2024-12-03,CUST1637,Mystery Novel,1,54.28,2.71
SO20351,1,2024-08-30,CUST2634,Fertilizer,7,77.63,27.17
SO20352,3,2024-12-22,CUST1417,Vitamin Supplements,6,247.52,74.26
SO20353,4,2025-05-19,CUST2146,Action Figure,1,60.65,3.03
SO20354,4,2024-11-04,CUST1985,Coffee Maker,1,493.13,24.66
SO20355,2,2024-09-06,CUST1238,Laptop,3,1357.95,203.69
SO20356,2,2024-07-27,CUST1797,Lawn Mower,7,312.5,109.38
SO20357,1,2024-10-02,CUST2015,Coffee Maker,5,493.13,123.28
SO20358,4,2024-10-28,CUST1815,Lawn Mower,9,312.5,140.62
SO20359,3,2024-07-25,CUST1464,Microwave,8,306.02,122.41
SO20360,1,2025-03-27,CUST1461,Car Cover,9,380.21,171.09
SO20361,3,2024-08-11,CUST2143,Football,1,54.37,2.72
SO20362,4,2024-06-15,CUST1286,Fertilizer,6,77.63,23.29
SO20363,4,2024-12-29,CUST2178,Sunglasses,9,101.72,45.77
SO20364,4,2025-04-02,CUST1095,Remote Car,9,6.8,3.06
SO20365,2,2024-07-31,CUST2068,Hand Sanitizer,9,67.13,30.21
SO20366,1,2025-01-23,CUST2190,Nail Polish,4,101.32,20.26
SO20367,3,2025-03-07,CUST1397,Nail Polish,4,101.32,20.26
SO20368,1,2025-04-05,CUST2239,Building Blocks,4,58.63,11.73
SO20369,3,2024-07-01,CUST1909,Action Figure,2,60.65,6.06
SO20370,3,2024-07-17,CUST1136,Vacuum Cleaner,6,111.58,33.47
SO20371,2,2024-12-09,CUST1663,Moisturizer,5,145.13,36.28
SO20372,1,2024-12-21,CUST1417,Biography,1,46.3,2.32
SO20373,2,2024-11-18,CUST2980,Smartwatch,4,1166.83,233.37
SO20374,3,2025-02-08,CUST2442,Foundation,6,135.88,40.76
